brand,model,count,avg_price,min_price,max_price,min_year,max_year,avg_mileage
Lifan,Cebrium,1,2000000.0,2000000,2000000,2015,2015,
Lifan,X50,1,3300000.0,3300000,3300000,2018,2018,108432.0
Lynk,& Co 06,1,13900000.0,13900000,13900000,2026,2026,
Lynk,& Co 09 Ultra,1,29990000.0,29990000,29990000,2025,2025,
Lynk,& Co 900 1.5T Ultra,1,25450000.0,25450000,25450000,2026,2026,
MG,HS,1,9990000.0,9990000,9990000,2026,2026,
MG,ZS Comfort,1,7990000.0,7990000,7990000,2026,2026,
Maserati,Ghibli,1,35000000.0,35000000,35000000,2013,2013,62000.0
Mazda,3,1,3800000.0,3800000,3800000,2005,2005,187000.0
Mazda,CX-30,1,16200000.0,16200000,16200000,2022,2022,66026.0
Mazda,CX-5,1,14500000.0,14500000,14500000,2026,2026,10.0
Mazda,Capella,1,1800000.0,1800000,1800000,1996,1996,233000.0
Mazda,Eunos 800,1,1000000.0,1000000,1000000,1994,1994,
Mazda,MPV,1,2500000.0,2500000,2500000,2003,2003,450000.0
Mazda,Xedos 9,1,900000.0,900000,900000,1998,1998,
Mercedes-Benz,A 180,1,5390000.0,5390000,5390000,2013,2013,128000.0
Mercedes-Benz,A 200,1,10500000.0,10500000,10500000,2019,2019,168000.0
Mercedes-Benz,B 170,1,3300000.0,3300000,3300000,2007,2007,200000.0
Mercedes-Benz,B 180,1,1900000.0,1900000,1900000,2009,2009,
Mercedes-Benz,C 200 AMG Line,1,40000000.0,40000000,40000000,2025,2025,15.0
Mercedes-Benz,C 220,1,2200000.0,2200000,2200000,1993,1993,
Mercedes-Benz,C 350,1,4100000.0,4100000,4100000,2007,2007,220000.0
Mercedes-Benz,C 63 AMG,1,40000000.0,40000000,40000000,2015,2015,90000.0
Mercedes-Benz,CL 500,1,9000000.0,9000000,9000000,2007,2007,90000.0
Mercedes-Benz,CL 600,1,42000000.0,42000000,42000000,1997,1997,72000.0
Mercedes-Benz,CL 63 AMG,1,20000000.0,20000000,20000000,2007,2007,97000.0
