2026-04-25 23:56:33,436 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/157955208; current total saved count: 59
2026-04-25 23:56:36,172 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/157955202 "HTTP/1.1 200 OK"
2026-04-25 23:56:36,202 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/157955202; current total saved count: 60
2026-04-25 23:56:36,901 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/157955226 "HTTP/1.1 200 OK"
2026-04-25 23:56:36,967 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/157955226; current total saved count: 61
2026-04-25 23:56:39,398 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/193060398 "HTTP/1.1 200 OK"
2026-04-25 23:56:39,423 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/193060398; current total saved count: 62
2026-04-25 23:56:39,738 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/157955187 "HTTP/1.1 200 OK"
2026-04-25 23:56:39,763 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/157955187; current total saved count: 63
2026-04-25 23:56:43,311 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/216863856 "HTTP/1.1 200 OK"
2026-04-25 23:56:43,332 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/216863856; current total saved count: 64
2026-04-25 23:56:43,599 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/191685406 "HTTP/1.1 200 OK"
2026-04-25 23:56:43,612 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/191685406; current total saved count: 65
2026-04-25 23:56:45,837 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/217835954 "HTTP/1.1 200 OK"
2026-04-25 23:56:45,844 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/217835954; current total saved count: 66
2026-04-25 23:56:47,286 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/217568298 "HTTP/1.1 200 OK"
2026-04-25 23:56:47,296 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/217568298; current total saved count: 67
2026-04-25 23:56:50,210 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/218114202 "HTTP/1.1 200 OK"
2026-04-25 23:56:50,230 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/218114202; current total saved count: 68
2026-04-25 23:56:51,023 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/211737438 "HTTP/1.1 200 OK"
2026-04-25 23:56:51,031 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/211737438; current total saved count: 69
2026-04-25 23:56:54,514 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/217895983 "HTTP/1.1 200 OK"
2026-04-25 23:56:54,522 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/217895983; current total saved count: 70
2026-04-25 23:56:54,770 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/217132845 "HTTP/1.1 200 OK"
2026-04-25 23:56:54,776 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/217132845; current total saved count: 71
2026-04-25 23:56:56,429 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/217217703 "HTTP/1.1 200 OK"
2026-04-25 23:56:56,440 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/217217703; current total saved count: 72
2026-04-25 23:56:58,481 | INFO | httpx | HTTP Request: GET https://kolesa.kz/a/show/215929407 "HTTP/1.1 200 OK"
2026-04-25 23:56:58,491 | INFO | kolesa_http_parser | saved listing https://kolesa.kz/a/show/215929407; current total saved count: 73
2026-04-25 23:56:58,495 | INFO | kolesa_http_parser | current total saved count: 73
2026-04-25 23:56:58,495 | INFO | kolesa_http_parser | current search page 2: https://kolesa.kz/cars/?page=2
2026-04-25 23:57:03,107 | INFO | httpx | HTTP Request: GET https://kolesa.kz/cars/?page=2 "HTTP/1.1 200 OK"
2026-04-25 23:57:03,137 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/218219105
2026-04-25 23:57:03,138 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/214193228
2026-04-25 23:57:03,139 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/162949202
2026-04-25 23:57:03,139 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/200917555
2026-04-25 23:57:03,140 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/217448517
2026-04-25 23:57:03,147 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/202090543
2026-04-25 23:57:03,148 | INFO | kolesa_http_parser | skipped duplicate https://kolesa.kz/a/show/218219693
